linha_csv,codigo_csv,nome_csv,especialidade_csv,preco_csv,nroproctab_sql,codconv_sql,descricao_sql,especialidade_sql,preco_sql,codigo_brana,nome_brana,especialidade_brana,preco_brana,codigo_significado,classe_csv_sql,classe_csv_brana,nivel_confian?a_anterior,nivel_confian?a_final,justificativa
80,,Mentoneira,Ortodontia,"0,00",283,,Mentoneira,7,0.0,283,Mentoneira,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
81,,Placa de expansão para mordida cruzada,Ortodontia,"0,00",300,,Placa de expansão para mordida cruzada,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
82,,Placa 7/7,Ortodontia,"0,00",286,,Placa 7/7,7,0.0,286,Placa 7/7,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
83,,Placa acoplada ao uso de arco extra bucal,Ortodontia,"0,00",287,,Placa acoplada ao uso de arco extra bucal,7,0.0,287,Placa acoplada ao uso de arco extra bucal,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
84,,Placa ativa com molas,Ortodontia,"0,00",288,,Placa ativa com molas,7,0.0,288,Placa ativa com molas,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
85,,Placa com arco alça dupla para expanção Y,Ortodontia,"0,00",289,,Placa com arco alça dupla para expanção Y,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
86,,Ortopedia funcional dos maxilares,Ortodontia,"0,00",284,,Ortopedia funcional dos maxilares,7,0.0,284,Ortopedia funcional dos maxilares,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
87,,Placa com arco de contenção de Baag,Ortodontia,"0,00",291,,Placa com arco de contenção de Baag,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
88,,Palatina ou arco lingual,Ortodontia,"0,00",285,,Palatina ou arco lingual,7,0.0,285,Palatina ou arco lingual,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
89,,Placa com arco seccionado para uso elasticos,Ortodontia,"0,00",293,,Placa com arco seccionado para uso elasticos,7,0.0,293,Placa com arco seccionado para uso elasticos,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
90,,Placa com plano de mordida inclinado,Ortodontia,"0,00",294,,Placa com plano de mordida inclinado,7,0.0,294,Placa com plano de mordida inclinado,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
91,,Manutenção ortodôntico - (Mensal),Ortodontia,"80,00",282,,Manutenção ortodôntico - (Mensal),7,80.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
92,,Placa com plano de mordida posterior,Ortodontia,"0,00",295,,Placa com plano de mordida posterior,7,0.0,295,Placa com plano de mordida posterior,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
93,,Placa com plano reto anterior,Ortodontia,"0,00",296,,Placa com plano reto anterior,7,0.0,296,Placa com plano reto anterior,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
94,,Placa de Apnéia,Ortodontia,"0,00",297,,Placa de Apnéia,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
95,,Placa de ativação mandibular,Ortodontia,"0,00",298,,Placa de ativação mandibular,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
